edge_id,source_id,target_id,predicate,enzyme_or_system,strain_id,module_id,evidence_tier,evidence_type,effect,source_url,notes,confidence_score,overclaim_flags,outcome_label
edge:arsenate_to_microbe_ars,compound:arsenate,microbe:ars_operon,handled_by,arsC_acr3,geobacter,contrast_arsenic,1,comparative_curated,detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,Geobacter ars modules reduce arsenate and export arsenite.,0.97,none,detoxification
edge:arsenite_to_human_as3mt,compound:arsenite,human:as3mt_gsh_mrp,handled_by,AS3MT_GSH_MRP,human_host,contrast_arsenic,1,mechanistic_literature,methylation_efflux,https://pmc.ncbi.nlm.nih.gov/articles/PMC3302683/,"Human arsenic handling uses GSH complexes, AS3MT, thioredoxin redox, and MRP efflux.",0.97,tissue_generalized,methylation + efflux
edge:ars_conserved_logic,microbe:ars_operon,human:as3mt_gsh_mrp,contrasts_as,contrast:conserved_chemistry,shared,contrast_arsenic,1,evolutionary_interpretation,conserved_chemistry,https://pmc.ncbi.nlm.nih.gov/articles/PMC4237493/,Conserved thiol/redox/methylation logic but different cellular architecture.,0.83,outcome_inferred;tissue_generalized,conserved chemistry
edge:ars_process_human,human:as3mt_gsh_mrp,process:thiol_methylation,uses_process,AS3MT_GSH,human_host,contrast_arsenic,1,mechanistic_literature,conserved_chemistry,https://pmc.ncbi.nlm.nih.gov/articles/PMC4237493/,Glutathione conjugates can serve as arsenic donors for human AS3MT.,0.93,none,conserved chemistry
edge:ars_process_microbe,microbe:ars_operon,process:thiol_methylation,partly_overlaps,arsC,geobacter,contrast_arsenic,2,interpretation,redox_thiol_overlap,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,Bacterial arsenic detoxification shares reduction/thiol logic but not AS3MT architecture.,0.63,outcome_inferred,redox thiol overlap
edge:toluene_to_microbe_bam,compound:toluene,microbe:bam_benzoylcoa,handled_by,bss_bbs_bam,geobacter,contrast_aromatics,1,genome_transcriptomics,catabolism,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,Geobacter metallireducens routes aromatics toward benzoyl-CoA degradation.,0.97,none,catabolism
edge:toluene_to_human_cyp,compound:toluene,human:cyp2e1_aromatic,handled_by,CYP2E1,human_host,contrast_aromatics,1,enzyme_literature,oxidation,https://pubmed.ncbi.nlm.nih.gov/9065730/,Human CYP2E1 forms benzyl alcohol from toluene.,0.97,tissue_generalized,oxidation
edge:benzoate_to_human_glycine,compound:benzoate,human:glycine_conjugation,handled_by,glycine_CoA,human_host,contrast_aromatics,2,pharmacokinetic_literature,conjugation_excretion,https://pubmed.ncbi.nlm.nih.gov/1352215/,Benzoate glycine conjugation is capacity-limited by glycine and CoA.,0.77,tissue_generalized,conjugation + excretion
edge:benzoylcoa_to_microbe_bam,compound:benzoyl_coa,microbe:bam_benzoylcoa,central_to,bamB_bamC_bamR_bamQ,geobacter,contrast_aromatics,1,genome_transcriptomics,dearomatization,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,Benzoyl-CoA is central to anaerobic aromatic ring reduction.,0.97,none,dearomatization
edge:aromatics_lost,microbe:bam_benzoylcoa,human:cyp2e1_aromatic,contrasts_as,contrast:pathway_loss,shared,contrast_aromatics,1,evolutionary_interpretation,lost_catabolic_pathway,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,Humans retain oxidation but not microbial anaerobic benzoyl-CoA respiratory dearomatization.,0.83,outcome_inferred;tissue_generalized,lost catabolic pathway
edge:aromatics_analogous,human:cyp2e1_aromatic,process:oxidation_conjugation,uses_process,CYP2E1,human_host,contrast_aromatics,1,enzyme_literature,human_exposure_handling,https://pubmed.ncbi.nlm.nih.gov/9065730/,Human pathway shifts aromatic handling toward oxidation and conjugation.,0.93,none,human exposure handling
edge:glycine_analogous,human:glycine_conjugation,contrast:analogous_function,contrasts_as,glycine_CoA,human_host,contrast_aromatics,2,interpretation,excretion_not_catabolism,https://pubmed.ncbi.nlm.nih.gov/1352215/,Human benzoate conjugation handles exposure without microbial carbon/energy harvest.,0.63,outcome_inferred,"excretion, not catabolism"
